================ Training Loss (Mon Jun  7 02:43:15 2021) ================
(epoch: 23, iters: 100, time: 0.527, data: 0.281) D_A: 0.050 G_A: 0.795 cycle_A: 0.762 idt_A: 1.088 D_B: 0.008 G_B: 1.072 cycle_B: 1.904 idt_B: 0.401 
(epoch: 23, iters: 200, time: 0.521, data: 0.002) D_A: 0.023 G_A: 0.949 cycle_A: 1.538 idt_A: 0.497 D_B: 0.005 G_B: 1.041 cycle_B: 1.081 idt_B: 0.600 
(epoch: 24, iters: 100, time: 0.526, data: 0.189) D_A: 0.007 G_A: 1.006 cycle_A: 0.884 idt_A: 0.384 D_B: 0.008 G_B: 0.835 cycle_B: 0.873 idt_B: 0.419 
(epoch: 24, iters: 200, time: 0.522, data: 0.002) D_A: 0.010 G_A: 0.914 cycle_A: 0.962 idt_A: 0.556 D_B: 0.002 G_B: 1.016 cycle_B: 1.390 idt_B: 0.417 
(epoch: 25, iters: 100, time: 0.522, data: 0.207) D_A: 0.005 G_A: 1.072 cycle_A: 1.202 idt_A: 0.527 D_B: 0.004 G_B: 0.952 cycle_B: 1.010 idt_B: 0.770 
(epoch: 25, iters: 200, time: 0.527, data: 0.002) D_A: 0.041 G_A: 0.932 cycle_A: 1.381 idt_A: 0.269 D_B: 0.023 G_B: 0.652 cycle_B: 0.496 idt_B: 0.472 
(epoch: 26, iters: 100, time: 0.525, data: 0.350) D_A: 0.017 G_A: 0.800 cycle_A: 1.240 idt_A: 0.602 D_B: 0.001 G_B: 1.001 cycle_B: 2.470 idt_B: 0.519 
(epoch: 26, iters: 200, time: 0.525, data: 0.003) D_A: 0.010 G_A: 0.903 cycle_A: 0.668 idt_A: 0.558 D_B: 0.003 G_B: 0.993 cycle_B: 0.606 idt_B: 0.467 
(epoch: 27, iters: 100, time: 0.527, data: 0.294) D_A: 0.010 G_A: 0.917 cycle_A: 1.267 idt_A: 0.617 D_B: 0.001 G_B: 1.000 cycle_B: 0.705 idt_B: 1.085 
(epoch: 27, iters: 200, time: 0.524, data: 0.003) D_A: 0.027 G_A: 0.679 cycle_A: 1.602 idt_A: 0.250 D_B: 0.003 G_B: 1.055 cycle_B: 0.420 idt_B: 0.509 
